userId,country,region
84327,United States,NULL
84370,Japan,Tokyo
84382,France,Île-de-France
84397,Canada,Ontario
84413,United States,Maryland
84462,Greece,NULL
84564,Japan,Tokyo
84824,United States,New York
85126,Spain,Community of Madrid
85143,Portugal,NULL
85156,Austria,Vienna
85195,United States,NULL
85462,India,NULL
85481,Japan,Tokyo
85488,Turkey,NULL
85494,Russia,NULL
85525,India,Uttar Pradesh
85594,United States,NULL
85726,United States,NULL
85764,Czechia,NULL
85792,Australia,NULL
85993,Estonia,Harju County
85999,United States,Massachusetts
86117,United States,NULL
86161,Australia,NULL
86177,India,Karnataka
86384,Russia,NULL
86432,United States,NULL
86793,Poland,Lower Silesian Voivodeship
86820,United States,Colorado
86903,India,NULL
87114,Spain,Community of Madrid
87137,United States,California
87298,Norway,NULL
87321,Lithuania,Vilnius County
87403,China,NULL
87429,India,Uttarakhand
87727,United States,Illinois
87729,India,Karnataka
87798,United States,Washington
87838,Germany,Hesse
87850,Australia,New South Wales
87907,Belgium,Flanders
87913,United States,NULL
87970,United States,NULL
87985,United States,Virginia
88000,United States,NULL
88001,Ukraine,NULL
88108,United Kingdom,England
88225,Turkey,NULL
88295,United States,Florida
88385,United States,NULL
88428,Russia,NULL
88593,South Africa,Gauteng
88669,United States,NULL
88779,United Kingdom,England
88859,United Kingdom,NULL
88904,India,Telangana
88922,Italy,Lazio
89068,United States,New York
89190,United Kingdom,NULL
89262,Israel,Tel Aviv District
89474,United States,Washington
89579,Indonesia,NULL
89920,United States,New York
90006,Sri Lanka,Western Province
90038,Portugal,Viana do Castelo District
90349,Netherlands,South Holland
90421,Singapore,NULL
90477,South Africa,NULL
90633,United States,Pennsylvania
90728,United States,NULL
90785,India,NULL
91059,Canada,NULL
91236,Italy,Piedmont
91264,United States,Washington
91516,Poland,Masovian Voivodeship
91606,Netherlands,NULL
91710,Spain,NULL
92022,China,Zhejiang
92295,United States,Massachusetts
45182,United States,New York
45259,Romania,Bucharest
45428,United States,New York
45430,Sweden,Stockholm County
45663,United States,NULL
45866,Romania,Cluj County
46122,United States,NULL
46172,India,NULL
46175,Australia,South Australia
46202,United States,NULL
46257,United States,Colorado
46365,India,NULL
46423,United States,California
46472,United States,Washington
46477,Malaysia,Selangor
46540,Spain,Community of Madrid
46656,Spain,Community of Madrid
46773,Australia,Victoria
46902,Germany,Saarland
46947,India,Telangana
46977,Belgium,Brussels
47151,France,Île-de-France
47226,New Zealand,Canterbury
47348,United States,District of Columbia
47373,United States,Massachusetts
47387,Brazil,Federal District
47555,United States,New York
47723,United States,New York
47786,Brazil,State of São Paulo
47947,Israel,Tel Aviv District
47954,United States,NULL
48116,United States,Michigan
48164,Israel,Tel Aviv District
48573,Germany,Baden-Württemberg
48578,United States,NULL
48595,India,Andhra Pradesh
48604,India,Karnataka
48625,United States,Texas
48845,Germany,Berlin
48848,United States,Maine
48974,United States,NULL
49050,Turkey,Istanbul
49118,Spain,NULL
49294,United States,NULL
49379,India,Delhi
49422,United States,Virginia
49541,Russia,Republic of Bashkortostan
49717,Spain,Valencian Community
49736,Indonesia,West Java
49772,India,NULL
49802,United States,California
49880,France,NULL
49938,Singapore,NULL
49946,Italy,NULL
50122,Australia,NULL
50184,Spain,NULL
50664,Israel,Tel Aviv District
50683,United Kingdom,NULL
50712,United States,NULL
50767,United States,Hawaii
50898,France,Île-de-France
51147,United States,Missouri
51257,Brazil,State of São Paulo
51393,Germany,NULL
51431,United States,Alabama
51450,Italy,Piedmont
51459,United States,NULL
51572,India,Gujarat
51799,India,NULL
51816,India,Tamil Nadu
51824,India,NULL
51886,United States,NULL
51888,United States,NULL
52004,Turkey,İstanbul
52035,United States,NULL
52137,United States,New York
52189,India,NULL
52196,India,Karnataka
52217,India,West Bengal
52248,Singapore,NULL
52359,Brazil,State of São Paulo
52403,United States,NULL
52615,United States,NULL
52617,India,NULL
52661,Poland,NULL
52780,Kazakhstan,East Kazakhstan Province
52856,Germany,Bavaria
52929,United States,NULL
52976,Canada,NULL
53040,Estonia,Tartu County
53236,Ukraine,NULL
53333,Germany,Berlin
53338,Ireland,County Dublin
53342,United Kingdom,NULL
53362,United States,California
53367,United States,NULL
53452,India,Telangana
53514,India,Maharashtra
53927,United States,New York
53940,United States,New Hampshire
